monitor_time,data_time,power_w,type,action,decision,activity_score,habit_score,confidence_score,activity_level,habit_level,confidence_level,professional_percentage,data_age_minutes,reason
2025-07-17 20:31:46,2025-07-17 19:30:12,1.0,phantom_load,Keep On,keep_on,0.7813157894736843,0.2955303798939517,0.9,high,low,high,100.0,1.6,
2025-07-17 20:46:47,2025-07-17 19:45:20,1.0,phantom_load,Keep On,keep_on,0.7659411523490407,0.2955303798939517,0.8771185684894145,high,low,high,100.0,1.4,
2025-07-17 21:01:47,2025-07-17 20:00:18,1.0,phantom_load,Keep On,keep_on,0.6894321695059744,0.2955303798939517,0.6880176165975774,high,low,high,100.0,1.5,
2025-07-17 21:16:47,2025-07-17 20:15:05,1.0,phantom_load,Keep On,keep_on,0.7388528651877534,0.2955303798939517,0.8636358787610012,high,low,high,100.0,1.7,
2025-07-17 21:31:47,2025-07-17 20:30:13,0.0,phantom_load,Keep On,keep_on,0.780554763940344,0.2955303798939517,0.8763615187009605,high,low,high,100.0,1.6,
2025-07-17 21:46:48,2025-07-17 20:45:20,1.0,phantom_load,Keep On,keep_on,0.7778514222590445,0.2955303798939517,0.8532869072661279,high,low,high,100.0,1.5,
2025-07-17 22:01:48,2025-07-17 21:00:18,0.0,phantom_load,Send Notification,send_notification,0.5465016071090945,0.2955303798939517,0.6394566676116225,medium,low,medium,100.0,1.5,
2025-07-17 22:16:49,2025-07-17 21:15:18,0.0,phantom_load,Send Notification,send_notification,0.5446862144313096,0.2955303798939517,0.5645051549540401,medium,low,medium,100.0,1.5,
2025-07-17 22:31:49,2025-07-17 21:30:08,1.0,phantom_load,Send Notification,send_notification,0.5463300184833261,0.2955303798939517,0.5782835281094544,medium,low,medium,100.0,1.7,
2025-07-17 22:46:49,2025-07-17 21:45:13,1.0,phantom_load,Send Notification,send_notification,0.5435359682415042,0.2955303798939517,0.5575167081344645,medium,low,medium,100.0,1.6,
2025-07-17 23:01:49,2025-07-17 22:00:14,0.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.13234013652828086,0.2955303798939517,0.1820720378275069,low,low,low,100.0,1.6,
2025-07-17 23:16:50,2025-07-17 22:15:13,0.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.13347469702533968,0.2955303798939517,0.19855308485633574,low,low,low,100.0,1.6,
2025-07-17 23:31:50,2025-07-17 22:30:27,0.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.11206314242190718,0.2955303798939517,0.16931456869115089,low,low,low,100.0,1.4,
2025-07-17 23:46:50,2025-07-17 22:45:26,0.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.13278090889634014,0.2955303798939517,0.11451611509860132,low,low,low,100.0,1.4,
2025-07-18 00:01:51,2025-07-17 23:00:17,0.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.05,0.2955303798939517,0.1,low,low,low,100.0,1.6,
2025-07-18 00:16:51,2025-07-17 23:15:03,1.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.05,0.2955303798939517,0.1,low,low,low,100.0,1.8,
2025-07-18 00:31:51,2025-07-17 23:30:14,0.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.05,0.2955303798939517,0.13989905530340996,low,low,low,100.0,1.6,
2025-07-18 00:46:52,2025-07-17 23:45:12,0.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.05,0.2955303798939517,0.1,low,low,low,100.0,1.7,
2025-07-18 01:01:52,2025-07-18 00:00:10,0.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.05,0.2955303798939517,0.1432595108141823,low,low,low,100.0,1.7,
2025-07-18 01:16:53,2025-07-18 00:14:52,0.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.05,0.2955303798939517,0.1932595108141823,low,low,low,100.0,2.0,
2025-07-18 01:31:53,2025-07-18 00:30:18,0.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.05,0.2955303798939517,0.1855557912035174,low,low,low,100.0,1.6,
2025-07-18 01:46:54,2025-07-18 00:45:18,1.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.05,0.2955303798939517,0.22416932295912,low,low,low,100.0,1.6,
